id_votacao,sigla_partido,orientacao
2184458-131,Minoria,Liberado
2184458-131,CIDADANIA,Sim
2184458-131,Governo,Não
2184458-131,PROS,Sim
2184458-131,PSD,
2184458-131,PODE,Não
2184458-169,PATRIOTA,
2184458-169,SOLIDARIEDADE,Sim
2184458-169,PDT,Sim
2184458-169,REPUBLICANOS,
2184458-169,PROS,
2184458-169,PL,Sim
2184458-169,DEM,Sim
2184458-169,Governo,Liberado
2184458-169,NOVO,Sim
2184458-169,PSC,
2184458-169,PP,Sim
2184458-169,Oposição,
2184458-169,PSL,Sim
2184458-169,Minoria,Sim
2184458-169,PODE,
2184458-169,CIDADANIA,Sim
2184458-169,Maioria,
2184458-169,AVANTE,
2184458-169,PSD,Sim
2184458-169,PSOL,Sim
2184458-169,PCdoB,
2184458-169,PT,Sim
2184458-169,PSDB,Sim
2184458-169,MDB,Sim
2184458-169,PTB,
2184458-169,REDE,Sim
2184458-169,PSB,Sim
2184458-169,PV,
2184458-172,PCdoB,
2184458-172,Oposição,
2184458-172,PSDB,Não
2184458-172,PT,Não
2184458-172,AVANTE,
2184458-172,PV,
2184458-172,PSB,Sim
2184458-172,Maioria,
2184458-172,PROS,
2184458-172,PSL,Sim
2184458-172,NOVO,Sim
2184458-172,CIDADANIA,
2184458-172,PSOL,Sim
2184458-172,Governo,Liberado
2184458-172,REDE,Sim
2184458-172,PDT,Sim
2184458-172,PP,Não
2184458-172,PL,Não
2184458-172,REPUBLICANOS,
2184458-172,MDB,Não
2184458-172,Minoria,Liberado
2184458-172,PTB,
2184458-172,PATRIOTA,
2184458-172,PODE,
2184458-172,PSC,
2184458-172,SOLIDARIEDADE,Não
2184458-172,PSD,Não
2184458-172,DEM,Não
2184458-111,MDB,Sim
2184458-111,PSC,Sim
2184458-111,DEM,Sim
2184458-111,PT,Sim
2184458-111,PL,Sim
2184458-111,Maioria,Sim
2184458-111,REPUBLICANOS,Sim
2184458-111,REDE,
2184458-111,PV,Sim
2184458-111,PROS,Sim
2184458-111,PATRIOTA,
2184458-111,PSDB,Sim
2184458-111,PSOL,Não
2184458-111,PTB,Sim
2184458-111,Governo,Sim
2184458-111,PP,Sim
2184458-111,PSD,Sim
2184458-111,NOVO,Não
2184458-111,PODE,Não
2184458-111,PSL,Sim
2184458-111,PDT,Sim
2184458-111,Minoria,Sim
2184458-111,PSB,Sim
2184458-111,AVANTE,
2184458-111,PCdoB,Sim
2184458-111,Oposição,Liberado
2184458-111,SOLIDARIEDADE,
2184458-111,CIDADANIA,Sim
2279545-9,AVANTE,Sim
2279545-9,PL,Sim
2279545-9,PROS,Sim
2279545-9,MDB,Sim
2279545-9,PATRIOTA,Sim
2279545-9,DEM,Sim
2279545-9,PP,Sim
2279545-9,PTB,Sim
2279545-9,PSOL,Sim
2279545-9,PSD,Sim
2279545-9,REDE,Sim
2279545-9,PSC,Sim
2279545-9,Maioria,Sim
2279545-9,SOLIDARIEDADE,Sim
2279545-9,CIDADANIA,Sim
2279545-9,PCdoB,Sim
2279545-9,NOVO,Não
2279545-9,PSB,Sim
2279545-9,PT,Sim
2279545-9,PDT,Sim
2279545-9,PSL,Sim
2279545-9,PODE,Sim
2279545-9,PSDB,Sim
2279545-9,Oposição,Sim
2279545-9,PV,Sim
2279545-9,Minoria,Sim
2279545-9,REPUBLICANOS,Sim
2279545-9,Governo,Sim
2269049-8,REDE,Sim
2269049-8,PV,Sim
2269049-8,Maioria,Sim
2269049-8,PL,Sim
2269049-8,Governo,Sim
2269049-8,MDB,Sim
2269049-8,PSB,Sim
2269049-8,PODE,Sim
2269049-8,PSDB,Sim
2269049-8,PROS,Sim
2269049-8,PCdoB,Sim
2269049-8,PDT,Sim
2269049-8,PSC,Sim
2269049-8,PSD,Sim
2269049-8,CIDADANIA,Sim
2269049-8,NOVO,Sim
2269049-8,PP,Sim
2269049-8,PSOL,Obstrução
2269049-8,Minoria,Liberado
2269049-8,PSL,Sim
2269049-8,REPUBLICANOS,Sim
2269049-8,PT,Sim
2269049-8,DEM,Sim
2342213-7,PP,Sim
2342213-7,SOLIDARIEDADE,Sim
2342213-7,PDT,Sim
2342213-7,PTB,Sim
2342213-7,Oposição,
2342213-7,Maioria,Sim
2342213-7,REPUBLICANOS,Sim
2342213-7,PL,Sim
2342213-7,PT,Sim
2342213-7,Governo,Sim
2342213-7,AVANTE,Sim
2342213-7,PSC,Sim
2342213-7,CIDADANIA,Sim
2342213-7,PATRIOTA,Sim
2342213-7,PCdoB,Não
2342213-7,PODE,Sim
2342213-7,NOVO,Sim
2342213-7,MDB,Sim
2342213-7,PSD,Sim
2342213-7,UNIÃO,Sim
2342213-7,PV,Não
2342213-7,PSDB,Sim
2342213-7,REDE,Não
2342213-7,PSB,Sim
2342213-7,PROS,Sim
2342213-7,PSOL,Não
2342213-7,Minoria,
2268662-44,PT,Obstrução
2268662-44,PP,Sim
2268662-44,PSB,Obstrução
2268662-44,PSDB,Sim
2268662-44,MDB,Sim
2268662-44,PSL,Sim
2268662-44,DEM,Sim
2269480-8,PCdoB,Sim
2269480-8,REDE,Sim
2269480-8,PSD,Sim
2269480-8,Governo,Sim
2269480-8,PSOL,Sim
2269480-8,PTB,Sim
2269480-8,PSL,Sim
2269480-8,CIDADANIA,Sim
2269480-8,PROS,Sim
2269480-8,REPUBLICANOS,Sim
2269480-8,DEM,Sim
2269480-8,MDB,Sim
2269480-8,Maioria,Sim
2269480-8,PDT,Sim
2269480-8,PT,Sim
2269480-8,Minoria,Sim
2269480-8,PP,Sim
2269480-8,PL,Sim
2269480-8,PSDB,Sim
2269480-8,NOVO,Sim
2269480-8,PSC,Sim
2269480-8,PSB,Sim
2268676-127,NOVO,Obstrução
2268676-127,Minoria,Obstrução
2268676-127,Oposição,Obstrução
2268676-127,PSD,Não
2268676-127,PL,Obstrução
2268676-127,Maioria,Não
2268676-127,MDB,Não
2268676-127,Fdr PT-PCdoB-PV,Não
2268619-48,REPUBLICANOS,Não
2268619-48,PL,Não
2268619-48,PV,Não
2268619-48,SOLIDARIEDADE,Não
2268619-48,Minoria,Sim
2268619-48,DEM,Não
2268619-48,PSB,Sim
2268619-48,CIDADANIA,Sim
2268619-48,PP,Não
2268619-48,PTB,Não
2268619-48,PSDB,Não
2268619-48,PSD,Não
2268619-48,Oposição,Sim
2268619-48,PSL,Não
2268619-48,PSOL,Sim
2268619-48,PROS,Não
2268619-48,AVANTE,Não
2268619-48,MDB,Não
2268619-48,PCdoB,Sim
2268619-48,PSC,Não
2268619-48,PDT,Sim
2268619-48,Maioria,Não
2268619-48,PODE,Não
2268619-48,NOVO,Não
2268619-48,PT,Sim
2268619-48,Governo,Não
2268619-48,PATRIOTA,Não
2268619-48,REDE,Sim
2268676-115,Fdr PT-PCdoB-PV,Não
2268676-115,NOVO,Sim
2268676-115,Oposição,Sim
2268676-115,Minoria,Sim
2268676-115,PL,Sim
2268676-115,Maioria,Não
2268676-115,PODE,Não
2268676-115,PP,Não
2268676-115,PSD,Não
2268676-85,Maioria,Não
2268676-85,Governo,Não
2268676-85,PL,Não
2268676-85,Minoria,Sim
2268676-85,NOVO,Sim
2268676-85,AVANTE,Não
2268676-85,MDB,Não
2268676-85,Fdr PT-PCdoB-PV,Não
2268676-103,MDB,Não
2268676-103,Oposição,Sim
2268676-103,PL,Sim
2268676-103,Governo,Não
2268676-103,PODE,Não
2268676-103,Fdr PSOL-REDE,Não
2268676-103,PDT,Não
2268676-103,Fdr PT-PCdoB-PV,Não
2268676-103,PSD,Não
2268676-103,Minoria,Sim
2268676-103,Maioria,Não
2268676-120,PODE,Não
2268676-120,PP,Não
2268676-120,NOVO,Sim
2268676-120,MDB,Não
2268676-120,Fdr PT-PCdoB-PV,Não
2268676-120,Maioria,Não
2268676-120,PSD,Não
2268676-120,PL,Sim
2268676-120,Governo,Não
2268676-120,Oposição,Sim
2268676-120,Minoria,Sim
2268884-94,PDT,Sim
2268884-94,PSB,Sim
2268884-94,Maioria,Sim
2268884-94,PTB,Sim
2268884-94,Oposição,
2268884-94,PATRIOTA,Sim
2268884-94,REDE,Sim
2268884-94,PL,Sim
2268884-94,PROS,Sim
2268884-94,PODE,Sim
2268884-94,PCdoB,Sim
2268884-94,PSDB,Sim
2268884-94,SOLIDARIEDADE,Sim
2268884-94,PSOL,Não
2268884-94,PP,Sim
2268884-94,Governo,Sim
2268884-94,PSL,Sim
2268884-94,MDB,Sim
2268884-94,Minoria,
2268884-94,PSC,Sim
2268884-94,DEM,Sim
2268884-94,PV,
2268884-94,CIDADANIA,Sim
2268884-94,PSD,Sim
2268884-94,NOVO,Não
2268884-94,PT,Sim
2268884-94,REPUBLICANOS,Sim
2268884-94,AVANTE,Sim
2268884-83,REDE,
2268884-83,PCdoB,Não
2268884-83,CIDADANIA,Não
2268884-83,PSB,Não
2268884-83,PSL,Não
2268884-83,PATRIOTA,Não
2268884-83,Minoria,
2268884-83,PSOL,Sim
2268884-83,NOVO,Sim
2268884-83,REPUBLICANOS,Não
2268884-83,PDT,Não
2268884-83,PSC,Não
2268884-83,Oposição,
2268884-83,AVANTE,Não
2268884-83,PROS,Não
2268884-83,PP,Não
2268884-83,DEM,Não
2268884-83,SOLIDARIEDADE,Não
2268884-83,MDB,Não
2268884-83,Maioria,Não
2268884-83,PTB,Não
2268884-83,PT,Não
2268884-83,PSDB,Não
2268884-83,Governo,Não
2268884-83,PSD,Não
2268884-83,PV,
2268884-83,PL,Não
2268884-83,PODE,Não
2299545-8,PTB,
2299545-8,PSL,Sim
2299545-8,NOVO,Não
2299545-8,PATRIOTA,Sim
2299545-8,REDE,
2299545-8,PCdoB,Sim
2299545-8,PSC,
2299545-8,Minoria,Sim
2299545-8,DEM,Sim
2299545-8,PSOL,Não
2299545-8,PDT,Sim
2299545-8,PSDB,Sim
2299545-8,PODE,Sim
2299545-8,SOLIDARIEDADE,Sim
2299545-8,PSB,Sim
2299545-8,AVANTE,Sim
2299545-8,PT,Sim
2299545-8,Governo,Sim
2299545-8,PL,Sim
2299545-8,Oposição,Liberado
2299545-8,PSD,Sim
2299545-8,PROS,
2299545-8,MDB,Sim
2299545-8,PP,Sim
2299545-8,Maioria,Sim
2299545-8,REPUBLICANOS,Sim
2299545-8,CIDADANIA,Sim
2299545-8,PV,
2268937-58,PT,Obstrução
2268937-58,PSB,Obstrução
2269049-8,REDE,Sim
2269049-8,PV,Sim
2269049-8,Maioria,Sim
2269049-8,PL,Sim
2269049-8,Governo,Sim
2269049-8,MDB,Sim
2269049-8,PSB,Sim
2269049-8,PODE,Sim
2269049-8,PSDB,Sim
2269049-8,PROS,Sim
2269049-8,PCdoB,Sim
2269049-8,PDT,Sim
2269049-8,PSC,Sim
2269049-8,PSD,Sim
2269049-8,CIDADANIA,Sim
2269049-8,NOVO,Sim
2269049-8,PP,Sim
2269049-8,PSOL,Obstrução
2269049-8,Minoria,Liberado
2269049-8,PSL,Sim
2269049-8,REPUBLICANOS,Sim
2269049-8,PT,Sim
2269049-8,DEM,Sim
2268937-47,REPUBLICANOS,Sim
2268937-47,PP,Não
2268937-47,PT,Sim
2268937-47,PTB,Não
2268937-47,REDE,Sim
2268937-47,PSB,Sim
2287066-9,PSL,Sim
2287066-9,NOVO,Não
2287066-9,REDE,Não
2287066-9,CIDADANIA,
2287066-9,PSB,Sim
2287066-9,PT,Sim
2287066-9,Governo,
2287066-9,PROS,Sim
2287066-9,PSC,Sim
2287066-9,SOLIDARIEDADE,Sim
2287066-9,PSDB,Sim
2287066-9,PTB,Sim
2287066-9,REPUBLICANOS,Sim
2287066-9,MDB,Sim
2287066-9,PP,Sim
2287066-9,PATRIOTA,
2287066-9,PL,Sim
2287066-9,Oposição,
2287066-9,PODE,Sim
2287066-9,AVANTE,
2287066-9,Maioria,
2287066-9,PCdoB,Sim
2287066-9,Minoria,Liberado
2287066-9,PSD,Sim
2287066-9,PSOL,Não
2287066-9,PDT,Sim
2287066-9,DEM,Sim
2287066-9,PV,Sim
2268936-53,AVANTE,Não
2268936-53,PROS,Não
2268936-53,PSC,Não
2268936-53,Oposição,
2268936-53,PL,Não
2268936-53,PDT,Sim
2268936-53,PV,Não
2268936-53,PSL,Não
2268936-53,PSDB,Não
2268936-53,Minoria,
2268936-53,NOVO,Sim
2268936-53,REDE,Sim
2268936-53,Governo,
2268936-53,REPUBLICANOS,Não
2268936-53,SOLIDARIEDADE,Não
2268936-53,DEM,Não
2268936-53,MDB,Não
2268936-53,PTB,Não
2268936-53,PT,Não
2268936-53,PSD,Não
2268936-53,PSB,Não
2268936-53,Maioria,Não
2268936-53,PSOL,Sim
2268936-53,PATRIOTA,Não
2268936-53,CIDADANIA,
2268936-53,PP,Não
2268936-53,PODE,Sim
2268936-53,PCdoB,Não
2269480-8,PCdoB,Sim
2269480-8,REDE,Sim
2269480-8,PSD,Sim
2269480-8,Governo,Sim
2269480-8,PSOL,Sim
2269480-8,PTB,Sim
2269480-8,PSL,Sim
2269480-8,CIDADANIA,Sim
2269480-8,PROS,Sim
2269480-8,REPUBLICANOS,Sim
2269480-8,DEM,Sim
2269480-8,MDB,Sim
2269480-8,Maioria,Sim
2269480-8,PDT,Sim
2269480-8,PT,Sim
2269480-8,Minoria,Sim
2269480-8,PP,Sim
2269480-8,PL,Sim
2269480-8,PSDB,Sim
2269480-8,NOVO,Sim
2269480-8,PSC,Sim
2269480-8,PSB,Sim
2269481-8,PSB,Não
2269481-8,DEM,Sim
2269481-8,PV,Sim
2269481-8,PSD,Sim
2269481-8,REPUBLICANOS,Sim
2269481-8,PROS,Sim
2269481-8,PP,Sim
2269481-8,MDB,Sim
2269481-8,NOVO,Sim
2269481-8,PTB,Sim
2269481-8,SOLIDARIEDADE,Sim
2269481-8,Maioria,Sim
2269481-8,PODE,Sim
2269481-8,PATRIOTA,Sim
2269481-8,PSOL,Não
2269481-8,CIDADANIA,Sim
2269481-8,PSDB,Sim
2269481-8,PL,Sim
2269481-8,PSL,Sim
2269481-8,Oposição,Não
2269481-8,PCdoB,Não
2269481-8,PSC,Sim
2269481-8,Minoria,Não
2269481-8,PDT,Não
2269481-8,Governo,Sim
2269481-8,PT,Não
2269481-8,REDE,Não
2268936-61,NOVO,Não
2268936-61,PSL,Liberado
2268936-61,DEM,Sim
2268936-61,PP,Sim
2268936-61,PSB,Sim
2268936-61,PSC,Sim
2268936-61,Oposição,
2268936-61,PROS,
2268936-61,PSD,Sim
2268936-61,PV,Sim
2268936-61,PODE,Não
2268936-61,Maioria,
2268936-61,PL,Sim
2268936-61,PSOL,Não
2268936-61,REDE,Sim
2268936-61,Minoria,
2268936-61,SOLIDARIEDADE,Sim
2268936-61,MDB,Sim
2268936-61,PCdoB,Sim
2268936-61,REPUBLICANOS,Sim
2268936-61,PDT,Sim
2268936-61,PT,Sim
2268936-61,CIDADANIA,
2268936-61,AVANTE,
2268936-61,PSDB,Sim
2268936-61,Governo,Não
2268936-61,PTB,Sim
2268936-61,PATRIOTA,
2269485-45,PT,Não
2269485-45,AVANTE,Não
2269485-45,PL,Não
2269485-45,REPUBLICANOS,Não
2269485-45,PATRIOTA,Não
2269485-45,PROS,Não
2269485-45,PSD,Não
2269485-45,REDE,Não
2269485-45,SOLIDARIEDADE,Não
2269485-45,Minoria,Liberado
2269485-45,PSDB,Não
2269485-45,PSL,Não
2269485-45,PV,Não
2269485-45,PTB,Não
2269485-45,PDT,Não
2269485-45,PODE,Não
2269485-45,PCdoB,Não
2269485-45,MDB,Não
2269485-45,PSB,Não
2269485-45,PSOL,Sim
2269485-45,PP,Não
2269485-45,PSC,Não
2269485-45,Governo,Não
2269485-45,DEM,Não
2269485-45,CIDADANIA,Não
2269485-45,NOVO,Não
2269485-69,Governo,Não
2269485-69,AVANTE,Não
2269485-69,PP,Não
2269485-69,PATRIOTA,Não
2269485-69,PSL,Não
2269485-69,PSDB,Não
2269485-69,PODE,Não
2269485-69,REPUBLICANOS,Não
2269485-69,PSB,Sim
2269485-69,MDB,Não
2269485-69,PSC,Não
2269485-69,PL,Não
2269485-69,PCdoB,Sim
2269485-69,CIDADANIA,Não
2269485-69,PSOL,Sim
2269485-69,PROS,Não
2269485-69,PTB,Não
2269485-69,PSD,Não
2269485-69,PDT,Sim
2269485-69,PT,Sim
2269485-69,Minoria,Sim
2269485-69,NOVO,Não
2269710-9,PODE,Sim
2269710-9,PP,Sim
2269710-9,PL,Sim
2269710-9,PSD,Sim
2269710-9,PT,Sim
2269710-9,SOLIDARIEDADE,Sim
2269710-9,PSOL,Não
2269710-9,DEM,Sim
2269710-9,PROS,Sim
2269710-9,PV,Sim
2269710-9,MDB,Sim
2269710-9,PSB,Sim
2269710-9,REDE,Sim
2269710-9,Maioria,Sim
2269710-9,PTB,Sim
2269710-9,PCdoB,Sim
2269710-9,NOVO,Sim
2269710-9,REPUBLICANOS,Sim
2269710-9,Governo,Sim
2269710-9,CIDADANIA,Sim
2269710-9,Minoria,Sim
2269710-9,PSC,Sim
2269710-9,AVANTE,Sim
2269710-9,PSL,Sim
2269710-9,PDT,Sim
2269710-9,Oposição,Sim
2269710-9,PSDB,Sim
2269710-9,PATRIOTA,Sim
2269710-9,PODE,Sim
2269710-9,PP,Sim
2269710-9,PL,Sim
2269710-9,PSD,Sim
2269710-9,PT,Sim
2269710-9,SOLIDARIEDADE,Sim
2269710-9,PSOL,Não
2269710-9,DEM,Sim
2269710-9,PROS,Sim
2269710-9,PV,Sim
2269710-9,MDB,Sim
2269710-9,PSB,Sim
2269710-9,REDE,Sim
2269710-9,Maioria,Sim
2269710-9,PTB,Sim
2269710-9,PCdoB,Sim
2269710-9,NOVO,Sim
2269710-9,REPUBLICANOS,Sim
2269710-9,Governo,Sim
2269710-9,CIDADANIA,Sim
