id_votacao,data,data_hora_registro,sigla_orgao,descricao_proposicao,descricao,aprovacao,id_proposicao
1197773-99,2023-08-09,2023-08-09T19:48:21,PLEN,,Rejeitada a Emenda de Plenário nº 3. Sim: 117; não: 264; abstenção: 1; total: 382.,0.0,1197773
1197773-95,2023-08-09,2023-08-09T19:33:41,PLEN,,Rejeitadas as Emendas ao Substitutivo.,0.0,1197773
1197773-90,2023-08-09,2023-08-09T19:31:47,PLEN,,"Aprovado o Substitutivo ao Projeto de Lei nº 996, de 2015, adotado pelo Relator da Comissão de Constituição e Justiça e de Cidadania, ressalvados os destaques. Sim: 335; não: 49; abstenção: 1; total: 385",1.0,1197773
1197773-87,2023-08-09,2023-08-09T19:26:29,PLEN,,Rejeitado o Requerimento.,0.0,1197773
1197773-81,2023-08-09,2023-08-09T19:10:44,PLEN,,Rejeitado o Requerimento.,0.0,1197773
1197773-76,2023-08-09,2023-08-09T19:03:26,PLEN,,Rejeitado o Requerimento.,0.0,1197773
2375501-8,2023-08-08,2023-08-08T17:30:08,PLEN,REQ 2360/2023,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 346; não: 34; total: 380.,1.0,1197773
618609-80,2023-12-12,2023-12-12T14:58:47,CCJC,,Aprovada a Redação Final.,1.0,618609
618609-65,2023-10-26,2023-10-26T11:46:36,CCJC,,Aprovado o Parecer.,1.0,618609
618609-40,2015-05-27,2015-05-27T15:26:09,CCULT,,Aprovado por Unanimidade o Parecer.,1.0,618609
2353475-2,2023-03-29,2023-03-29T11:24:09,CSAUDE,REQ 34/2023 CSAUDE,"Aprovado. Subscrito pelos Deputados Geraldo Resende, Flávia Morais, Daniel Soranz, Jorge Solla, Abilio Brunini e Beto Preto.",1.0,2345495
2345498-38,2023-12-20,2023-12-20T11:49:06,CDE,,Aprovado o Parecer.,1.0,2345498
2345501-28,2023-01-09,2023-01-09T21:22:54,PLEN,,"Aprovada a Redação Final assinada pelo Relator, Dep. Rubens Pereira Junior (PT-MA).",1.0,2345501
2345501-26,2023-01-09,2023-01-09T21:22:30,PLEN,,"Aprovado o Projeto de Decreto Legislativo nº 1, de 2023, adotado pelo Relator da Comissão de Constituição e Justiça e de Cidadania.",1.0,2345501
2345501-25,2023-01-09,2023-01-09T21:22:12,PLEN,,Rejeitado o Requerimento.,0.0,2345501
2345501-18,2023-01-09,2023-01-09T20:58:25,SECAP(SGM),,"Realizar o encaminhamento da MSC-14/2023 à CCJC (tramitação simultânea), em razão da aprovação de requerimento de urgência.",1.0,2345501
2345501-17,2023-01-09,2023-01-09T20:58:25,SECAP(SGM),,"Realizar o encaminhamento da MSC-14/2023 à CCJC (tramitação simultânea), em razão da aprovação de requerimento de urgência.",1.0,2345501
2345502-6,2023-01-09,2023-01-09T20:58:24,PLEN,REQ 1/2023,"Aprovado, por unanimidade, o Requerimento de Urgência (Art. 155 do RICD).",1.0,2345501
2345508-7,2023-01-09,,MESA,,"Apresentação do Voto em Separado n. 1 MESA, pela Deputada Carla Zambelli (PL/SP).",0.0,2345508
2345502-6,2023-01-09,2023-01-09T20:58:24,PLEN,REQ 1/2023,"Aprovado, por unanimidade, o Requerimento de Urgência (Art. 155 do RICD).",1.0,2345502
2345625-153,2023-12-06,2023-12-06T20:49:20,PLEN,,"Rejeitado o Substitutivo do Senado Federal ao Projeto de Lei nº 3-A, de 2023.",0.0,2345625
2345625-122,2023-08-01,2023-08-01T21:45:27,PLEN,,"Aprovada a Redação Final assinada pela Relatora, Dep. Renata Abreu (Pode-SP).",1.0,2345625
2345625-119,2023-08-01,2023-08-01T21:44:18,PLEN,,"Aprovado o Substitutivo ao Projeto de Lei nº 3, de 2023, adotado pela Relatora da Comissão de Defesa dos Direitos da Mulher.",1.0,2345625
2345625-86,2023-06-20,2023-06-20T18:50:21,PLEN,,Alteração do Regime de Tramitação desta proposição em virtude da Aprovação do REQ 525/2023.,1.0,2345625
2345625-85,2023-06-20,2023-06-20T18:50:21,SECAP(SGM),,"Realizar o encaminhamento do PL-3/2023 à CICS (tramitação simultânea), em razão da aprovação de requerimento de urgência.",1.0,2345625
2345625-84,2023-06-20,2023-06-20T18:50:21,SECAP(SGM),,"Realizar o encaminhamento do PL-3/2023 à CMULHER (tramitação simultânea), em razão da aprovação de requerimento de urgência.",1.0,2345625
2345625-83,2023-06-20,2023-06-20T18:50:20,SECAP(SGM),,"Realizar o encaminhamento do PL-3/2023 à CCJC (tramitação simultânea), em razão da aprovação de requerimento de urgência.",1.0,2345625
2345625-82,2023-06-20,2023-06-20T18:50:20,SECAP(SGM),,"Realizar o encaminhamento do PL-3/2023 à CCJC (tramitação simultânea), em razão da aprovação de requerimento de urgência.",1.0,2345625
2350705-9,2023-06-20,2023-06-20T18:50:18,PLEN,REQ 525/2023,"Aprovado, por unanimidade, o Requerimento de Urgência (Art. 155 do RICD).",1.0,2345625
2345634-59,2023-09-19,2023-09-19T14:50:26,CCJC,,Aprovada a Redação Final.,1.0,2345634
2345634-44,2023-08-15,2023-08-15T14:51:18,CCJC,,Aprovado o Parecer.,1.0,2345634
2345634-31,2023-05-10,2023-05-16T15:19:21,CCOM,,Aprovado o Parecer.,1.0,2345634
2345653-51,2024-08-14,2024-08-14T11:57:03,CSAUDE,,Aprovado o Parecer.,1.0,2345653
2345653-24,2023-08-30,2023-08-30T12:43:11,CCTI,,Aprovado o Parecer.,1.0,2345653
2345659-24,2023-11-29,2024-04-19T12:14:01,MESA,,"Aprovado, por unanimidade, o parecer do Relator.",1.0,2345659
2345662-24,2023-11-29,2024-04-19T12:14:01,MESA,,"Aprovado, por unanimidade, o parecer do Relator.",1.0,2345662
2345652-24,2023-11-29,2024-04-19T12:14:01,MESA,,"Aprovado, por unanimidade, o parecer do Relator.",1.0,2345652
2345672-37,2023-10-18,2023-10-18T19:42:58,PLEN,,"Aprovada a Redação Final assinada pela relatora, Dep. Maria do Rosário (PT-RS).",1.0,2345672
2345672-35,2023-10-18,2023-10-18T19:42:18,PLEN,,"Aprovado o Projeto de Resolução nº 10, de 2023.",1.0,2345672
2345672-26,2023-10-18,2023-10-18T19:32:57,SECAP(SGM),,"Realizar o encaminhamento do PRC-10/2023 à CCJC (tramitação simultânea), em razão da aprovação de requerimento de urgência.",1.0,2345672
2397561-7,2023-10-18,2023-10-18T19:32:56,PLEN,REQ 3595/2023,"Aprovado, por unanimidade, o Requerimento de Urgência (Art. 155 RICD).",1.0,2345672
2345673-35,2023-10-18,2023-10-18T11:18:42,CVT,,Aprovado o Parecer.,1.0,2345673
2345658-30,2023-11-08,2023-11-08T12:23:36,CFT,,Aprovado o Parecer.,1.0,2345658
2345685-40,2023-11-07,2023-11-07T14:40:49,CCJC,,Aprovada a Redação Final.,1.0,2345685
2345685-25,2023-09-26,2023-09-26T16:59:56,CCJC,,Aprovado o Parecer.,1.0,2345685
2345680-86,2024-05-22,2024-05-22T11:25:41,CCJC,,"Rejeitado o Requerimento de Retirada de Pauta. Resultado:  12 votos ""Sim"", 30 votos ""Não"". Quórum de votação: 42 votos.",0.0,2345680
2357898-11,2023-12-06,2023-12-06T23:11:51,PLEN,REQ 1283/2023,Rejeitado o Requerimento de Urgência (Art. 155 do RICD). Sim: 254; não: 156; abstenção: 5; total: 415.,0.0,2345680
2345680-55,2023-04-25,2023-04-25T17:50:25,CSPCCO,,"Aprovado o Parecer, contra os votos dos Deputados Pastor Henrique Vieira, Delegada Adriana Accorsi, Dimas Gadelha e Reimont. Apresentou voto em separado o Deputado Pastor Henrique Vieira.",1.0,2345680
2345680-36,2023-04-18,,CSPCCO,,"Apresentação do Voto em Separado n. 1 CSPCCO, pelo Deputado Pastor Henrique Vieira (PSOL/RJ -Fdr PSOL-REDE).",0.0,2345680
2345692-22,2024-10-29,,CSPCCO,,"Apresentação do VTS n. 1 CSPCCO (Voto em Separado), pelo Deputado Rodrigo Valadares (UNIÃO/SE).",0.0,2345692
2345714-40,2023-10-10,2023-10-10T15:44:59,CCJC,,Aprovada a Redação Final.,1.0,2345714
2345714-25,2023-08-22,2023-08-22T17:58:40,CCJC,,Aprovado o Parecer.,1.0,2345714
2345713-21,2023-11-29,2023-11-29T15:43:13,CPASF,,Aprovado o Parecer.,1.0,2345713
2375437-7,2023-08-08,2023-08-08T17:31:45,PLEN,REQ 2348/2023,"Aprovado, por unanimidade, o Requerimento de Urgência (Art. 155 do RICD).",1.0,2345718
2345720-53,2023-11-08,2023-11-08T14:36:15,CMULHER,,Aprovado o Parecer.,1.0,2345720
2345720-41,2023-09-19,2023-09-19T16:59:24,CSPCCO,,Aprovado o Parecer.,1.0,2345720
2345716-29,2024-11-27,2024-11-27T11:52:13,CMADS,,Aprovado o Parecer.,1.0,2345716
2345734-76,2024-11-12,2024-11-12T18:02:06,CSPCCO,,"Aprovado o Parecer Vencedor do Dep. Sargento Fahur. O parecer da Relatora, Dep. Duda Salabert, passou a constituir Voto em Separado.",1.0,2345734
2345734-66,2024-11-05,2024-11-05T14:55:10,CSPCCO,,Rejeitado.,0.0,2345734
2446766-2,2024-10-29,2024-10-29T17:54:04,CSPCCO,REQ 219/2024 CSPCCO,Rejeitado.,0.0,2345734
2345734-41,2023-12-12,2023-12-12T16:43:50,CPASF,,Aprovado o Parecer.,1.0,2345734
2345734-29,2023-08-23,2023-08-23T13:59:35,CMULHER,,Aprovado o Parecer.,1.0,2345734
2345722-29,2024-05-22,2024-05-22T14:38:14,CTUR,,Aprovado o Parecer.,1.0,2345722
2345729-30,2023-08-30,2023-08-30T18:44:14,CPASF,,Aprovado o Parecer contra o voto da deputada Ana Paula Lima.,1.0,2345729
2345729-29,2023-08-30,2023-08-30T16:11:10,CPASF,,Rejeitado o Requerimento de Retirada de Pauta.,0.0,2345729
2345729-25,2023-08-23,2023-08-23T15:50:06,CPASF,,Rejeitado o Requerimento de Retirada de Pauta.,0.0,2345729
2345737-22,2023-08-08,2023-08-08T16:10:39,CPASF,,Aprovado o Parecer.,1.0,2345737
2346759-40,2023-12-12,2023-12-12T14:58:54,CCJC,,Aprovada a Redação Final.,1.0,2346759
2346759-25,2023-10-31,2023-10-31T14:49:16,CCJC,,Aprovado o Parecer.,1.0,2346759
2346762-46,2024-05-23,2024-05-23T10:13:49,CCJC,,Aprovada a Redação Final.,1.0,2346762
2346762-29,2024-03-27,2024-03-27T11:39:04,CCJC,,Aprovado o Parecer.,1.0,2346762
2346769-54,2024-08-13,2024-08-13T15:34:27,CCJC,,Aprovada a Redação Final.,1.0,2346769
2346769-38,2024-06-25,2024-06-25T15:39:14,CCJC,,Aprovado o Parecer.,1.0,2346769
2346769-24,2023-05-17,2023-05-17T14:52:51,CCULT,,Aprovado o Parecer.,1.0,2346769
2346805-29,2023-08-02,2023-08-02T15:44:31,CMULHER,,Aprovado o Parecer.,1.0,2346805
2346799-26,2024-12-09,2024-12-09T19:11:31,PLEN,,"Alteração do Regime de Tramitação desta proposição em virtude da alteração do regime do PL 3781/2021, por ter sido aprovado o REQ 556/2022 que está apensado ao primeiro.",1.0,2346799
2346799-25,2024-12-09,2024-12-09T19:11:23,PLEN,,"Aprovado o requerimento nº 556/2022,do Sr. Capitão Alberto Neto, que solicita urgência (art. 155) para o PL 3781/2021.",1.0,2346799
2346806-21,2024-10-30,2024-10-30T13:11:29,CTRAB,,Aprovado o Parecer.,1.0,2346806
2346821-20,2024-12-09,2024-12-09T19:11:31,PLEN,PL 126/2023,"Alteração do Regime de Tramitação desta proposição em virtude da alteração do regime do PL 3781/2021, por ter sido aprovado o REQ 556/2022 que está apensado ao primeiro.",1.0,2346821
2346821-19,2024-12-09,2024-12-09T19:11:24,PLEN,PL 126/2023,"Aprovado o requerimento nº 556/2022,do Sr. Capitão Alberto Neto, que solicita urgência (art. 155) para o PL 3781/2021.",1.0,2346821
2346831-25,2025-04-23,2025-04-23T13:35:07,CAPADR,,Aprovado o Parecer.,1.0,2346831
2346860-33,2024-12-04,2024-12-04T15:40:29,CCULT,,Aprovado o Parecer.,1.0,2346860
2439638-2,2024-06-19,2024-06-19T12:37:29,CCTI,REQ 30/2024 CCTI,"Aprovado, subscrito pelo Dep. Ossesio Silva.",1.0,2346870
2346870-20,2023-08-30,2023-08-30T11:25:26,CINDRE,,Aprovado o Parecer.,1.0,2346870
2471647-3,2024-12-04,2024-12-04T13:49:50,CESPO,REQ 85/2024 CESPO,Aprovado o Requerimento.,1.0,2346893
2346893-31,2024-10-30,2024-10-30T15:34:59,CMULHER,,Aprovado o Parecer.,1.0,2346893
2346901-30,2023-11-01,2023-11-01T10:39:38,CMADS,,Aprovado o Parecer com Complementação de Voto.,1.0,2346901
2346901-23,2023-10-25,2023-10-25T11:04:01,CMADS,,Rejeitado o Requerimento de Retirada de Pauta.,0.0,2346901
2346896-49,2024-08-13,2024-08-13T15:34:27,CCJC,,Aprovada a Redação Final.,1.0,2346896
2346896-34,2024-06-25,2024-06-25T15:39:47,CCJC,,Aprovado o Parecer.,1.0,2346896
2346896-22,2023-09-27,2023-09-27T14:49:06,CCULT,,Aprovado o Parecer.,1.0,2346896
2346907-29,2023-11-01,2023-11-01T10:33:45,CMADS,,Aprovado o Parecer.,1.0,2346907
2346907-20,2023-10-25,2023-10-25T11:09:53,CMADS,,Rejeitado o Requerimento de Retirada de Pauta.,0.0,2346907
2346955-19,2023-08-02,2023-08-02T15:13:14,CPASF,,Aprovado o Parecer.,1.0,2346955
2346958-69,2024-12-11,2024-12-11T11:45:40,CFT,,Aprovado o Parecer.,1.0,2346958
2346958-49,2024-06-18,2024-06-18T15:38:20,CSPCCO,,Aprovado o Parecer.,1.0,2346958
2346958-36,2024-05-08,2024-05-08T11:27:47,CMADS,,Aprovado o Parecer.,1.0,2346958
2347030-24,2023-08-16,2023-08-16T10:45:00,CE,,Aprovado o Parecer.,1.0,2347030
2347020-44,2023-08-15,2023-08-15T18:05:29,CCJC,,Aprovada a Redação Final.,1.0,2347020
2347020-28,2023-06-20,2023-06-20T15:36:09,CCJC,,Aprovado o Parecer.,1.0,2347020
2347037-23,2023-08-16,2023-08-16T11:08:39,CE,,Aprovado o Parecer.,1.0,2347037
2347041-44,2023-11-28,2023-11-28T15:10:52,CPD,,Aprovado o Parecer.,1.0,2347041
2347027-30,2023-09-19,,CTRAB,,"Apresentação do VTS n. 1 CTRAB (Voto em Separado), pelo Deputado Prof. Paulo Fernando (REPUBLIC/DF).",0.0,2347027
2347027-32,2023-12-07,,CTRAB,,"Apresentação do VTS n. 2 CTRAB (Voto em Separado), pela Deputada Any Ortiz (CIDADANIA/RS -Fdr PSDB-CIDADANIA).",0.0,2347027
2347027-34,2024-03-12,,CTRAB,,"Apresentação do VTS n. 3 CTRAB (Voto em Separado), pelo Deputado Luiz Gastão (PSD/CE).",0.0,2347027
2347046-25,2023-08-29,2023-08-30T10:53:59,CSPCCO,,"Aprovado o Parecer, com abstenção do voto do Deputado Pastor Henrique Vieira.",1.0,2347046
2347035-24,2024-08-13,2024-08-13T12:11:41,CCTI,,Aprovado o Parecer.,1.0,2347035
2347052-46,2024-11-27,2024-11-27T16:07:20,CPASF,,Aprovado o Parecer.,1.0,2347052
2347071-32,2023-10-04,2023-10-04T10:46:04,CDU,,Aprovado o Parecer.,1.0,2347071
2347072-21,2023-08-01,2023-08-01T15:40:49,CPD,,Aprovado o Parecer.,1.0,2347072
2347090-27,2024-11-26,2024-11-26T15:27:18,CSAUDE,,Aprovado o Parecer.,1.0,2347090
2347097-25,2023-12-06,2023-12-06T11:44:09,CSAUDE,,Aprovado o Parecer.,1.0,2347097
2347099-42,2023-12-13,2023-12-13T16:00:29,CPASF,,Aprovado o Parecer.,1.0,2347099
2347099-28,2023-08-30,2023-08-30T10:32:29,CMADS,,Aprovado o Parecer.,1.0,2347099
2347108-23,2024-11-13,2024-11-13T11:33:01,CME,,Aprovado o Parecer.,1.0,2347108
2347113-34,2024-08-14,2024-08-14T11:00:38,CFT,,Aprovado o Parecer.,1.0,2347113
2347113-23,2023-11-29,2023-11-29T10:43:34,CMADS,,Aprovado o Parecer.,1.0,2347113
2347133-51,2023-09-20,2023-09-20T18:32:08,PLEN,,Aprovada a Redação Final assinada pela Relatora Dep. Iza Arruda (MDB-PE).,1.0,2347133
2347133-48,2023-09-20,2023-09-20T18:30:24,PLEN,,"Aprovado o Substitutivo ao Projeto de Lei nº 309, de 2023, adotado pela Relatora da Comissão de Saúde.",1.0,2347133
2347133-29,2023-08-29,2023-08-29T19:25:47,SECAP(SGM),,"Realizar o encaminhamento do PL-309/2023 à CCJC (tramitação simultânea), em razão da aprovação de requerimento de urgência.",1.0,2347133
2377518-12,2023-08-29,2023-08-29T19:25:47,PLEN,REQ 2454/2023,Aprovado o Requerimento de Urgência (Art. 155 do RICD). Sim: 420; não: 1; total: 421.,1.0,2347133
2347134-20,2024-12-09,2024-12-09T19:11:31,PLEN,,"Alteração do Regime de Tramitação desta proposição em virtude da alteração do regime do PL 3781/2021, por ter sido aprovado o REQ 556/2022 que está apensado ao primeiro.",1.0,2347134
2347134-19,2024-12-09,2024-12-09T19:11:24,PLEN,,"Aprovado o requerimento nº 556/2022,do Sr. Capitão Alberto Neto, que solicita urgência (art. 155) para o PL 3781/2021.",1.0,2347134
2347139-51,2024-10-16,2024-10-16T10:46:45,CCJC,,Aprovada a Redação Final.,1.0,2347139
2347139-36,2024-08-13,2024-08-13T16:23:27,CCJC,,Aprovado o Parecer.,1.0,2347139
2347139-21,2023-06-13,2023-06-13T15:18:30,CICS,,Aprovado o Parecer.,1.0,2347139
2347150-92,2024-10-29,2024-10-29T15:17:09,CCJC,,Aprovada a Redação Final.,1.0,2347150
2347150-73,2024-07-03,2024-07-03T10:46:31,CCJC,,"Aprovado o Parecer com o seguinte resultado:  33 votos ""Sim"", 1 voto ""Não"". Quórum de votação: 34 votos.",1.0,2347150
2347150-56,2024-07-02,2024-07-02T17:04:29,CCJC,,"Rejeitado o Requerimento de Retirada de Pauta. Resultado: 14 votos ""Sim"", 23 votos ""Não"". Quórum de votação: 37 votos.",0.0,2347150
2347175-24,2023-12-06,2023-12-06T13:47:14,CESPO,,Aprovado o Parecer.,1.0,2347175
2347174-43,2023-10-10,2023-10-10T15:45:00,CCJC,,Aprovada a Redação Final.,1.0,2347174
2347174-27,2023-08-22,2023-08-22T16:06:45,CCJC,,"Aprovado o Parecer, contra o voto da Deputada Julia Zanatta.",1.0,2347174
2347177-27,2023-08-16,2023-08-16T14:24:50,CMULHER,,Aprovado o Parecer.,1.0,2347177
2347202-22,2023-10-10,2023-10-10T11:10:07,CESPO,,Aprovado o Parecer.,1.0,2347202
2347232-15,2024-02-20,2024-02-20T21:13:02,PLEN,PL 353/2023,"Aprovado requerimento n. 1884/2023 do Sr. Fábio Macedo e outros que requer urgência para o PL 10106/2018, do Senado Federal, que “altera a Lei nº 8.080, de 19 de setembro de 1990, para dispor sobre a obrigatoriedade de publicação na internet de listas de pacientes que serão submetidos a procedimentos cirúrgicos eletivos no âmbito do Sistema Único de Saúde (SUS), e a Lei nº 8.429, de 2 de junho de 1992 (Lei de Improbidade Administrativa), para caracterizar o descumprimento dessa disposição como ato de improbidade administrativa”.",1.0,2347232
