codTema,tema,relevancia,id_proposicao
55,Relações Internacionais e Comércio Exterior,0,2345651
53,Processo Legislativo e Atuação Parlamentar,0,2345654
55,Relações Internacionais e Comércio Exterior,0,2345654
72,Homenagens e Datas Comemorativas,0,2345648
39,Esporte e Lazer,0,2345640
72,Homenagens e Datas Comemorativas,0,2345640
53,Processo Legislativo e Atuação Parlamentar,0,2345657
55,Relações Internacionais e Comércio Exterior,0,2345657
72,Homenagens e Datas Comemorativas,0,2345655
72,Homenagens e Datas Comemorativas,0,2345645
53,Processo Legislativo e Atuação Parlamentar,0,2345662
55,Relações Internacionais e Comércio Exterior,0,2345662
53,Processo Legislativo e Atuação Parlamentar,0,2345656
55,Relações Internacionais e Comércio Exterior,0,2345656
57,Defesa e Segurança,0,2345663
53,Processo Legislativo e Atuação Parlamentar,0,2345659
55,Relações Internacionais e Comércio Exterior,0,2345659
68,Direito Constitucional,0,2345649
70,Finanças Públicas e Orçamento,0,2345649
37,Comunicações,0,2345665
44,Direitos Humanos e Minorias,0,2345665
53,Processo Legislativo e Atuação Parlamentar,0,2345664
56,Saúde,0,2345653
64,"Agricultura, Pecuária, Pesca e Extrativismo",0,2345666
53,Processo Legislativo e Atuação Parlamentar,0,2345666
57,Defesa e Segurança,0,2345667
55,Relações Internacionais e Comércio Exterior,0,2345667
53,Processo Legislativo e Atuação Parlamentar,0,2345652
55,Relações Internacionais e Comércio Exterior,0,2345652
44,Direitos Humanos e Minorias,0,2345671
70,Finanças Públicas e Orçamento,0,2345658
72,Homenagens e Datas Comemorativas,0,2345668
53,Processo Legislativo e Atuação Parlamentar,0,2345677
55,Relações Internacionais e Comércio Exterior,0,2345677
34,Administração Pública,0,2345670
57,Defesa e Segurança,0,2345670
46,Educação,0,2345670
72,Homenagens e Datas Comemorativas,0,2345660
44,Direitos Humanos e Minorias,0,2345674
56,Saúde,0,2345674
57,Defesa e Segurança,0,2345680
39,Esporte e Lazer,0,2345661
70,Finanças Públicas e Orçamento,0,2345661
72,Homenagens e Datas Comemorativas,0,2345673
61,"Viação, Transporte e Mobilidade",0,2345673
43,Direito Penal e Processual Penal,0,2345669
70,Finanças Públicas e Orçamento,0,2345684
70,Finanças Públicas e Orçamento,0,2345675
56,Saúde,0,2345675
37,Comunicações,0,2345672
72,Homenagens e Datas Comemorativas,0,2345672
40,Economia,0,2345686
54,"Energia, Recursos Hídricos e Minerais",0,2345686
40,Economia,0,2345676
70,Finanças Públicas e Orçamento,0,2345676
58,Trabalho e Emprego,0,2345676
34,Administração Pública,0,2345682
64,"Agricultura, Pecuária, Pesca e Extrativismo",0,2345682
51,Estrutura Fundiária,0,2345682
40,Economia,0,2345688
70,Finanças Públicas e Orçamento,0,2345688
44,Direitos Humanos e Minorias,0,2345678
70,Finanças Públicas e Orçamento,0,2345678
52,Previdência e Assistência Social,0,2345678
42,Direito Civil e Processual Civil,0,2345691
57,Defesa e Segurança,0,2345692
44,Direitos Humanos e Minorias,0,2345692
70,Finanças Públicas e Orçamento,0,2345692
53,Processo Legislativo e Atuação Parlamentar,0,2345679
55,Relações Internacionais e Comércio Exterior,0,2345679
42,Direito Civil e Processual Civil,0,2345695
34,Administração Pública,0,2345681
74,"Política, Partidos e Eleições",0,2345681
70,Finanças Públicas e Orçamento,0,2345697
56,Saúde,0,2345697
40,Economia,0,2345683
70,Finanças Públicas e Orçamento,0,2345683
55,Relações Internacionais e Comércio Exterior,0,2345683
34,Administração Pública,0,2345699
70,Finanças Públicas e Orçamento,0,2345699
74,"Política, Partidos e Eleições",0,2345699
42,Direito Civil e Processual Civil,0,2345685
57,Defesa e Segurança,0,2345700
44,Direitos Humanos e Minorias,0,2345700
61,"Viação, Transporte e Mobilidade",0,2345700
34,Administração Pública,0,2345687
70,Finanças Públicas e Orçamento,0,2345687
55,Relações Internacionais e Comércio Exterior,0,2345687
42,Direito Civil e Processual Civil,0,2345702
70,Finanças Públicas e Orçamento,0,2345702
34,Administração Pública,0,2345689
70,Finanças Públicas e Orçamento,0,2345689
42,Direito Civil e Processual Civil,0,2345704
70,Finanças Públicas e Orçamento,0,2345706
70,Finanças Públicas e Orçamento,0,2345690
56,Saúde,0,2345690
58,Trabalho e Emprego,0,2345690
42,Direito Civil e Processual Civil,0,2345707
46,Educação,0,2345693
55,Relações Internacionais e Comércio Exterior,0,2345693
70,Finanças Públicas e Orçamento,0,2345694
46,Educação,0,2345696
34,Administração Pública,0,2345715
48,Meio Ambiente e Desenvolvimento Sustentável,0,2345715
42,Direito Civil e Processual Civil,0,2345714
76,Direito e Justiça,0,2345698
70,Finanças Públicas e Orçamento,0,2345698
72,Homenagens e Datas Comemorativas,0,2345716
48,Meio Ambiente e Desenvolvimento Sustentável,0,2345716
70,Finanças Públicas e Orçamento,0,2345717
70,Finanças Públicas e Orçamento,0,2345701
76,Direito e Justiça,0,2345718
57,Defesa e Segurança,0,2345720
44,Direitos Humanos e Minorias,0,2345720
57,Defesa e Segurança,0,2345703
40,Economia,0,2345719
70,Finanças Públicas e Orçamento,0,2345719
55,Relações Internacionais e Comércio Exterior,0,2345719
40,Economia,0,2345724
70,Finanças Públicas e Orçamento,0,2345705
64,"Agricultura, Pecuária, Pesca e Extrativismo",0,2345722
60,Turismo,0,2345722
42,Direito Civil e Processual Civil,0,2345727
44,Direitos Humanos e Minorias,0,2345727
66,"Indústria, Comércio e Serviços",0,2345710
56,Saúde,0,2345710
41,Cidades e Desenvolvimento Urbano,0,2345728
40,Economia,0,2345728
56,Saúde,0,2345728
58,Trabalho e Emprego,0,2345728
42,Direito Civil e Processual Civil,0,2345713
44,Direitos Humanos e Minorias,0,2345729
43,Direito Penal e Processual Penal,0,2345712
57,Defesa e Segurança,0,2345734
43,Direito Penal e Processual Penal,0,2345734
44,Direitos Humanos e Minorias,0,2345734
66,"Indústria, Comércio e Serviços",0,2345732
56,Saúde,0,2345732
40,Economia,0,2345721
41,Cidades e Desenvolvimento Urbano,0,2345741
57,Defesa e Segurança,0,2345741
58,Trabalho e Emprego,0,2345736
41,Cidades e Desenvolvimento Urbano,0,2345742
44,Direitos Humanos e Minorias,0,2345742
61,"Viação, Transporte e Mobilidade",0,2345742
57,Defesa e Segurança,0,2345726
74,"Política, Partidos e Eleições",0,2345726
44,Direitos Humanos e Minorias,0,2345737
70,Finanças Públicas e Orçamento,0,2345744
66,"Indústria, Comércio e Serviços",0,2345744
56,Saúde,0,2345744
43,Direito Penal e Processual Penal,0,2345731
44,Direitos Humanos e Minorias,0,2345731
42,Direito Civil e Processual Civil,0,2345738
58,Trabalho e Emprego,0,2345738
41,Cidades e Desenvolvimento Urbano,0,2345748
48,Meio Ambiente e Desenvolvimento Sustentável,0,2345748
76,Direito e Justiça,0,2345739
74,"Política, Partidos e Eleições",0,2345739
61,"Viação, Transporte e Mobilidade",0,2345743
37,Comunicações,0,2345740
46,Educação,0,2345740
48,Meio Ambiente e Desenvolvimento Sustentável,0,2345740
42,Direito Civil e Processual Civil,0,2345751
44,Direitos Humanos e Minorias,0,2345751
70,Finanças Públicas e Orçamento,0,2345745
34,Administração Pública,0,2345746
44,Direitos Humanos e Minorias,0,2345746
56,Saúde,0,2345746
67,Direito e Defesa do Consumidor,0,2345750
54,"Energia, Recursos Hídricos e Minerais",0,2345750
42,Direito Civil e Processual Civil,0,2346759
34,Administração Pública,0,2346764
57,Defesa e Segurança,0,2346764
43,Direito Penal e Processual Penal,0,2346764
39,Esporte e Lazer,0,2346756
72,Homenagens e Datas Comemorativas,0,2346756
70,Finanças Públicas e Orçamento,0,2346758
42,Direito Civil e Processual Civil,0,2346762
34,Administração Pública,0,2346761
42,Direito Civil e Processual Civil,0,2346763
41,Cidades e Desenvolvimento Urbano,0,2346766
51,Estrutura Fundiária,0,2346766
48,Meio Ambiente e Desenvolvimento Sustentável,0,2346766
54,"Energia, Recursos Hídricos e Minerais",0,2346774
44,Direitos Humanos e Minorias,0,2346778
54,"Energia, Recursos Hídricos e Minerais",0,2346779
48,Meio Ambiente e Desenvolvimento Sustentável,0,2346779
61,"Viação, Transporte e Mobilidade",0,2346779
35,"Arte, Cultura e Religião",0,2346769
34,Administração Pública,0,2346781
43,Direito Penal e Processual Penal,0,2346770
44,Direitos Humanos e Minorias,0,2346770
66,"Indústria, Comércio e Serviços",0,2346770
34,Administração Pública,0,2346771
62,"Ciência, Tecnologia e Inovação",0,2346771
54,"Energia, Recursos Hídricos e Minerais",0,2346771
66,"Indústria, Comércio e Serviços",0,2346771
48,Meio Ambiente e Desenvolvimento Sustentável,0,2346771
41,Cidades e Desenvolvimento Urbano,0,2346787
48,Meio Ambiente e Desenvolvimento Sustentável,0,2346787
40,Economia,0,2346789
41,Cidades e Desenvolvimento Urbano,0,2346773
40,Economia,0,2346773
46,Educação,0,2346773
35,"Arte, Cultura e Religião",0,2346791
56,Saúde,0,2346791
74,"Política, Partidos e Eleições",0,2346793
44,Direitos Humanos e Minorias,0,2346795
58,Trabalho e Emprego,0,2346795
44,Direitos Humanos e Minorias,0,2346805
66,"Indústria, Comércio e Serviços",0,2346805
34,Administração Pública,0,2346803
44,Direitos Humanos e Minorias,0,2346803
35,"Arte, Cultura e Religião",0,2346806
66,"Indústria, Comércio e Serviços",0,2346806
58,Trabalho e Emprego,0,2346807
44,Direitos Humanos e Minorias,0,2346799
44,Direitos Humanos e Minorias,0,2346809
56,Saúde,0,2346809
64,"Agricultura, Pecuária, Pesca e Extrativismo",0,2346800
46,Educação,0,2346800
58,Trabalho e Emprego,0,2346800
34,Administração Pública,0,2346816
57,Defesa e Segurança,0,2346816
44,Direitos Humanos e Minorias,0,2346817
58,Trabalho e Emprego,0,2346817
44,Direitos Humanos e Minorias,0,2346802
74,"Política, Partidos e Eleições",0,2346802
34,Administração Pública,0,2346815
72,Homenagens e Datas Comemorativas,0,2346815
74,"Política, Partidos e Eleições",0,2346815
34,Administração Pública,0,2346808
44,Direitos Humanos e Minorias,0,2346808
34,Administração Pública,0,2346819
56,Saúde,0,2346819
42,Direito Civil e Processual Civil,0,2346811
58,Trabalho e Emprego,0,2346811
70,Finanças Públicas e Orçamento,0,2346829
58,Trabalho e Emprego,0,2346829
61,"Viação, Transporte e Mobilidade",0,2346829
44,Direitos Humanos e Minorias,0,2346826
46,Educação,0,2346826
58,Trabalho e Emprego,0,2346826
54,"Energia, Recursos Hídricos e Minerais",0,2346813
70,Finanças Públicas e Orçamento,0,2346813
57,Defesa e Segurança,0,2346818
74,"Política, Partidos e Eleições",0,2346818
70,Finanças Públicas e Orçamento,0,2346833
58,Trabalho e Emprego,0,2346833
64,"Agricultura, Pecuária, Pesca e Extrativismo",0,2346831
44,Direitos Humanos e Minorias,0,2346821
70,Finanças Públicas e Orçamento,0,2346821
52,Previdência e Assistência Social,0,2346821
44,Direitos Humanos e Minorias,0,2346822
72,Homenagens e Datas Comemorativas,0,2346822
56,Saúde,0,2346822
43,Direito Penal e Processual Penal,0,2346823
44,Direitos Humanos e Minorias,0,2346823
74,"Política, Partidos e Eleições",0,2346823
46,Educação,0,2346825
34,Administração Pública,0,2346839
58,Trabalho e Emprego,0,2346839
44,Direitos Humanos e Minorias,0,2346840
46,Educação,0,2346840
70,Finanças Públicas e Orçamento,0,2346840
42,Direito Civil e Processual Civil,0,2346850
43,Direito Penal e Processual Penal,0,2346850
44,Direitos Humanos e Minorias,0,2346850
43,Direito Penal e Processual Penal,0,2346842
44,Direitos Humanos e Minorias,0,2346842
76,Direito e Justiça,0,2346837
58,Trabalho e Emprego,0,2346837
34,Administração Pública,0,2346843
46,Educação,0,2346843
72,Homenagens e Datas Comemorativas,0,2346852
70,Finanças Públicas e Orçamento,0,2346841
48,Meio Ambiente e Desenvolvimento Sustentável,0,2346841
61,"Viação, Transporte e Mobilidade",0,2346841
57,Defesa e Segurança,0,2346855
66,"Indústria, Comércio e Serviços",0,2346855
46,Educação,0,2346844
34,Administração Pública,0,2346845
56,Saúde,0,2346845
43,Direito Penal e Processual Penal,0,2346847
44,Direitos Humanos e Minorias,0,2346847
61,"Viação, Transporte e Mobilidade",0,2346859
44,Direitos Humanos e Minorias,0,2346858
46,Educação,0,2346858
58,Trabalho e Emprego,0,2346858
44,Direitos Humanos e Minorias,0,2346848
58,Trabalho e Emprego,0,2346848
35,"Arte, Cultura e Religião",0,2346860
72,Homenagens e Datas Comemorativas,0,2346860
46,Educação,0,2346849
54,"Energia, Recursos Hídricos e Minerais",0,2346865
48,Meio Ambiente e Desenvolvimento Sustentável,0,2346865
70,Finanças Públicas e Orçamento,0,2346862
46,Educação,0,2346868
57,Defesa e Segurança,0,2346867
57,Defesa e Segurança,0,2346866
35,"Arte, Cultura e Religião",0,2346854
46,Educação,0,2346854
39,Esporte e Lazer,0,2346854
56,Saúde,0,2346872
40,Economia,0,2346869
66,"Indústria, Comércio e Serviços",0,2346869
58,Trabalho e Emprego,0,2346869
55,Relações Internacionais e Comércio Exterior,0,2346875
58,Trabalho e Emprego,0,2346875
70,Finanças Públicas e Orçamento,0,2346863
55,Relações Internacionais e Comércio Exterior,0,2346863
34,Administração Pública,0,2346871
34,Administração Pública,0,2346880
74,"Política, Partidos e Eleições",0,2346880
34,Administração Pública,0,2346864
44,Direitos Humanos e Minorias,0,2346864
56,Saúde,0,2346864
72,Homenagens e Datas Comemorativas,0,2346873
66,"Indústria, Comércio e Serviços",0,2346873
57,Defesa e Segurança,0,2346884
62,"Ciência, Tecnologia e Inovação",0,2346870
72,Homenagens e Datas Comemorativas,0,2346874
74,"Política, Partidos e Eleições",0,2346874
61,"Viação, Transporte e Mobilidade",0,2346876
44,Direitos Humanos e Minorias,0,2346886
53,Processo Legislativo e Atuação Parlamentar,0,2346886
34,Administração Pública,0,2346882
41,Cidades e Desenvolvimento Urbano,0,2346882
44,Direitos Humanos e Minorias,0,2346887
72,Homenagens e Datas Comemorativas,0,2346887
57,Defesa e Segurança,0,2346878
34,Administração Pública,0,2346885
43,Direito Penal e Processual Penal,0,2346885
44,Direitos Humanos e Minorias,0,2346885
57,Defesa e Segurança,0,2346877
44,Direitos Humanos e Minorias,0,2346888
46,Educação,0,2346888
56,Saúde,0,2346879
44,Direitos Humanos e Minorias,0,2346893
39,Esporte e Lazer,0,2346893
34,Administração Pública,0,2346891
44,Direitos Humanos e Minorias,0,2346891
34,Administração Pública,0,2346881
70,Finanças Públicas e Orçamento,0,2346881
57,Defesa e Segurança,0,2346883
48,Meio Ambiente e Desenvolvimento Sustentável,0,2346899
61,"Viação, Transporte e Mobilidade",0,2346899
64,"Agricultura, Pecuária, Pesca e Extrativismo",0,2346895
48,Meio Ambiente e Desenvolvimento Sustentável,0,2346895
58,Trabalho e Emprego,0,2346895
35,"Arte, Cultura e Religião",0,2346903
39,Esporte e Lazer,0,2346903
48,Meio Ambiente e Desenvolvimento Sustentável,0,2346903
34,Administração Pública,0,2346889
70,Finanças Públicas e Orçamento,0,2346889
74,"Política, Partidos e Eleições",0,2346889
66,"Indústria, Comércio e Serviços",0,2346906
48,Meio Ambiente e Desenvolvimento Sustentável,0,2346906
56,Saúde,0,2346890
61,"Viação, Transporte e Mobilidade",0,2346890
43,Direito Penal e Processual Penal,0,2346907
48,Meio Ambiente e Desenvolvimento Sustentável,0,2346907
61,"Viação, Transporte e Mobilidade",0,2346907
43,Direito Penal e Processual Penal,0,2346908
48,Meio Ambiente e Desenvolvimento Sustentável,0,2346908
43,Direito Penal e Processual Penal,0,2346909
48,Meio Ambiente e Desenvolvimento Sustentável,0,2346909
70,Finanças Públicas e Orçamento,0,2346894
66,"Indústria, Comércio e Serviços",0,2346894
58,Trabalho e Emprego,0,2346894
42,Direito Civil e Processual Civil,0,2346910
43,Direito Penal e Processual Penal,0,2346910
48,Meio Ambiente e Desenvolvimento Sustentável,0,2346910
43,Direito Penal e Processual Penal,0,2346912
48,Meio Ambiente e Desenvolvimento Sustentável,0,2346912
35,"Arte, Cultura e Religião",0,2346896
72,Homenagens e Datas Comemorativas,0,2346896
34,Administração Pública,0,2346916
54,"Energia, Recursos Hídricos e Minerais",0,2346916
70,Finanças Públicas e Orçamento,0,2346916
67,Direito e Defesa do Consumidor,0,2346897
54,"Energia, Recursos Hídricos e Minerais",0,2346897
43,Direito Penal e Processual Penal,0,2346915
48,Meio Ambiente e Desenvolvimento Sustentável,0,2346915
42,Direito Civil e Processual Civil,0,2346898
48,Meio Ambiente e Desenvolvimento Sustentável,0,2346898
48,Meio Ambiente e Desenvolvimento Sustentável,0,2346901
61,"Viação, Transporte e Mobilidade",0,2346901
34,Administração Pública,0,2346922
70,Finanças Públicas e Orçamento,0,2346922
56,Saúde,0,2346922
34,Administração Pública,0,2346924
70,Finanças Públicas e Orçamento,0,2346924
34,Administração Pública,0,2346911
57,Defesa e Segurança,0,2346911
48,Meio Ambiente e Desenvolvimento Sustentável,0,2346911
44,Direitos Humanos e Minorias,0,2346926
54,"Energia, Recursos Hídricos e Minerais",0,2346926
70,Finanças Públicas e Orçamento,0,2346926
43,Direito Penal e Processual Penal,0,2346913
48,Meio Ambiente e Desenvolvimento Sustentável,0,2346913
43,Direito Penal e Processual Penal,0,2346928
44,Direitos Humanos e Minorias,0,2346928
56,Saúde,0,2346928
54,"Energia, Recursos Hídricos e Minerais",0,2346930
70,Finanças Públicas e Orçamento,0,2346930
44,Direitos Humanos e Minorias,0,2346914
56,Saúde,0,2346914
43,Direito Penal e Processual Penal,0,2346931
44,Direitos Humanos e Minorias,0,2346931
34,Administração Pública,0,2346920
40,Economia,0,2346920
55,Relações Internacionais e Comércio Exterior,0,2346920
67,Direito e Defesa do Consumidor,0,2346937
66,"Indústria, Comércio e Serviços",0,2346937
34,Administração Pública,0,2346935
74,"Política, Partidos e Eleições",0,2346932
46,Educação,0,2346944
56,Saúde,0,2346951
42,Direito Civil e Processual Civil,0,2346940
43,Direito Penal e Processual Penal,0,2346942
72,Homenagens e Datas Comemorativas,0,2346945
43,Direito Penal e Processual Penal,0,2346954
44,Direitos Humanos e Minorias,0,2346946
52,Previdência e Assistência Social,0,2346946
34,Administração Pública,0,2346949
44,Direitos Humanos e Minorias,0,2346955
56,Saúde,0,2346955
56,Saúde,0,2346959
41,Cidades e Desenvolvimento Urbano,0,2346947
44,Direitos Humanos e Minorias,0,2346947
56,Saúde,0,2346960
72,Homenagens e Datas Comemorativas,0,2346948
61,"Viação, Transporte e Mobilidade",0,2346948
72,Homenagens e Datas Comemorativas,0,2346964
39,Esporte e Lazer,0,2346952
48,Meio Ambiente e Desenvolvimento Sustentável,0,2346965
48,Meio Ambiente e Desenvolvimento Sustentável,0,2346966
58,Trabalho e Emprego,0,2346953
48,Meio Ambiente e Desenvolvimento Sustentável,0,2346968
58,Trabalho e Emprego,0,2346968
57,Defesa e Segurança,0,2346967
66,"Indústria, Comércio e Serviços",0,2346967
43,Direito Penal e Processual Penal,0,2346956
57,Defesa e Segurança,0,2346969
67,Direito e Defesa do Consumidor,0,2346980
56,Saúde,0,2346980
34,Administração Pública,0,2346957
56,Saúde,0,2346957
34,Administração Pública,0,2346985
70,Finanças Públicas e Orçamento,0,2346985
67,Direito e Defesa do Consumidor,0,2346981
56,Saúde,0,2346981
48,Meio Ambiente e Desenvolvimento Sustentável,0,2346958
34,Administração Pública,0,2346986
70,Finanças Públicas e Orçamento,0,2346986
42,Direito Civil e Processual Civil,0,2346982
56,Saúde,0,2346982
67,Direito e Defesa do Consumidor,0,2346961
54,"Energia, Recursos Hídricos e Minerais",0,2346961
34,Administração Pública,0,2346988
54,"Energia, Recursos Hídricos e Minerais",0,2346988
42,Direito Civil e Processual Civil,0,2346983
56,Saúde,0,2346983
56,Saúde,0,2346962
46,Educação,0,2346991
34,Administração Pública,0,2346989
54,"Energia, Recursos Hídricos e Minerais",0,2346989
43,Direito Penal e Processual Penal,0,2346963
34,Administração Pública,0,2346990
54,"Energia, Recursos Hídricos e Minerais",0,2346990
55,Relações Internacionais e Comércio Exterior,0,2346990
42,Direito Civil e Processual Civil,0,2347020
34,Administração Pública,0,2347012
70,Finanças Públicas e Orçamento,0,2347012
60,Turismo,0,2347012
43,Direito Penal e Processual Penal,0,2347025
46,Educação,0,2347021
70,Finanças Públicas e Orçamento,0,2347021
58,Trabalho e Emprego,0,2347021
40,Economia,0,2347013
70,Finanças Públicas e Orçamento,0,2347013
66,"Indústria, Comércio e Serviços",0,2347013
40,Economia,0,2347028
72,Homenagens e Datas Comemorativas,0,2347022
34,Administração Pública,0,2347014
70,Finanças Públicas e Orçamento,0,2347014
60,Turismo,0,2347014
58,Trabalho e Emprego,0,2347032
44,Direitos Humanos e Minorias,0,2347024
66,"Indústria, Comércio e Serviços",0,2347024
57,Defesa e Segurança,0,2347015
40,Economia,0,2347030
46,Educação,0,2347030
70,Finanças Públicas e Orçamento,0,2347030
42,Direito Civil e Processual Civil,0,2347033
44,Direitos Humanos e Minorias,0,2347033
70,Finanças Públicas e Orçamento,0,2347023
46,Educação,0,2347039
64,"Agricultura, Pecuária, Pesca e Extrativismo",0,2347026
66,"Indústria, Comércio e Serviços",0,2347026
44,Direitos Humanos e Minorias,0,2347041
70,Finanças Públicas e Orçamento,0,2347041
58,Trabalho e Emprego,0,2347027
42,Direito Civil e Processual Civil,0,2347029
48,Meio Ambiente e Desenvolvimento Sustentável,0,2347029
70,Finanças Públicas e Orçamento,0,2347043
48,Meio Ambiente e Desenvolvimento Sustentável,0,2347043
57,Defesa e Segurança,0,2347044
58,Trabalho e Emprego,0,2347044
54,"Energia, Recursos Hídricos e Minerais",0,2347031
57,Defesa e Segurança,0,2347046
46,Educação,0,2347034
40,Economia,0,2347048
46,Educação,0,2347035
44,Direitos Humanos e Minorias,0,2347049
56,Saúde,0,2347049
46,Educação,0,2347036
70,Finanças Públicas e Orçamento,0,2347036
41,Cidades e Desenvolvimento Urbano,0,2347050
56,Saúde,0,2347050
61,"Viação, Transporte e Mobilidade",0,2347050
46,Educação,0,2347037
34,Administração Pública,0,2347051
44,Direitos Humanos e Minorias,0,2347051
52,Previdência e Assistência Social,0,2347051
57,Defesa e Segurança,0,2347038
58,Trabalho e Emprego,0,2347038
57,Defesa e Segurança,0,2347056
43,Direito Penal e Processual Penal,0,2347056
44,Direitos Humanos e Minorias,0,2347056
35,"Arte, Cultura e Religião",0,2347054
57,Defesa e Segurança,0,2347054
44,Direitos Humanos e Minorias,0,2347054
57,Defesa e Segurança,0,2347040
44,Direitos Humanos e Minorias,0,2347040
46,Educação,0,2347057
48,Meio Ambiente e Desenvolvimento Sustentável,0,2347057
52,Previdência e Assistência Social,0,2347060
56,Saúde,0,2347060
58,Trabalho e Emprego,0,2347060
70,Finanças Públicas e Orçamento,0,2347042
57,Defesa e Segurança,0,2347059
64,"Agricultura, Pecuária, Pesca e Extrativismo",0,2347062
51,Estrutura Fundiária,0,2347062
57,Defesa e Segurança,0,2347045
44,Direitos Humanos e Minorias,0,2347045
66,"Indústria, Comércio e Serviços",0,2347045
67,Direito e Defesa do Consumidor,0,2347061
66,"Indústria, Comércio e Serviços",0,2347061
72,Homenagens e Datas Comemorativas,0,2347047
34,Administração Pública,0,2347063
42,Direito Civil e Processual Civil,0,2347063
43,Direito Penal e Processual Penal,0,2347063
44,Direitos Humanos e Minorias,0,2347052
52,Previdência e Assistência Social,0,2347052
57,Defesa e Segurança,0,2347064
58,Trabalho e Emprego,0,2347071
61,"Viação, Transporte e Mobilidade",0,2347071
46,Educação,0,2347053
52,Previdência e Assistência Social,0,2347053
57,Defesa e Segurança,0,2347065
39,Esporte e Lazer,0,2347065
44,Direitos Humanos e Minorias,0,2347072
57,Defesa e Segurança,0,2347073
44,Direitos Humanos e Minorias,0,2347055
46,Educação,0,2347055
40,Economia,0,2347074
70,Finanças Públicas e Orçamento,0,2347074
42,Direito Civil e Processual Civil,0,2347058
43,Direito Penal e Processual Penal,0,2347058
48,Meio Ambiente e Desenvolvimento Sustentável,0,2347058
44,Direitos Humanos e Minorias,0,2347076
48,Meio Ambiente e Desenvolvimento Sustentável,0,2347076
56,Saúde,0,2347076
34,Administração Pública,0,2347066
40,Economia,0,2347066
53,Processo Legislativo e Atuação Parlamentar,0,2347066
34,Administração Pública,0,2347079
56,Saúde,0,2347079
57,Defesa e Segurança,0,2347077
41,Cidades e Desenvolvimento Urbano,0,2347081
44,Direitos Humanos e Minorias,0,2347067
46,Educação,0,2347067
70,Finanças Públicas e Orçamento,0,2347067
34,Administração Pública,0,2347080
41,Cidades e Desenvolvimento Urbano,0,2347080
44,Direitos Humanos e Minorias,0,2347069
56,Saúde,0,2347069
34,Administração Pública,0,2347084
42,Direito Civil e Processual Civil,0,2347084
70,Finanças Públicas e Orçamento,0,2347084
46,Educação,0,2347068
70,Finanças Públicas e Orçamento,0,2347085
66,"Indústria, Comércio e Serviços",0,2347085
58,Trabalho e Emprego,0,2347085
66,"Indústria, Comércio e Serviços",0,2347070
52,Previdência e Assistência Social,0,2347070
58,Trabalho e Emprego,0,2347070
44,Direitos Humanos e Minorias,0,2347087
70,Finanças Públicas e Orçamento,0,2347087
66,"Indústria, Comércio e Serviços",0,2347087
58,Trabalho e Emprego,0,2347087
48,Meio Ambiente e Desenvolvimento Sustentável,0,2347075
